JOSE STÉDILE,RS,PSB,106.03
BENITO GAMA,BA,PTB,46.82
LUCIO VIEIRA LIMA,BA,PMDB,332.0
FABIO REIS,SE,PMDB,80.0
LUIZA ERUNDINA,SP,PSOL,5.7
MAURO MARIANI,SC,PMDB,526.68
MAJOR OLIMPIO,SP,SD,38.1
BETINHO GOMES,PE,PSDB,12000.0
PAULO ABI-ACKEL,MG,PSDB,972.72
EZEQUIEL TEIXEIRA,RJ,PTN,50.0
ADELMO CARNEIRO LEÃO,MG,PT,709.72
HISSA ABRAHÃO,AM,PDT,1379.58
PAES LANDIM,PI,PTB,1091.66
ANDRES SANCHEZ,SP,PT,61.4
JOZI ARAÚJO,AP,PTN,141.0
ROBERTO FREIRE,SP,PPS,161.88
ELIZIANE GAMA,MA,PPS,546.73
CACÁ LEÃO,BA,PP,-77.5
DIMAS FABIANO,MG,PP,185.0
SILVIO TORRES,SP,PSDB,233.0
RICARDO TEOBALDO ,PE,PTN,50.0
ZECA DIRCEU,PR,PT,499.29
ROCHA,AC,PSDB,152.9
LAUDIVIO CARVALHO,MG,SD,15.6
CRISTIANE BRASIL,RJ,PTB,240.45
FÁBIO SOUSA,GO,PSDB,80.0
CARLOS MANATO,ES,SD,-124.9
GONZAGA PATRIOTA,PE,PSB,6.0
LUIZ COUTO,PB,PT,868.83
EZEQUIEL TEIXEIRA,RJ,PTN,710.45
MAURO LOPES,MG,PMDB,92.6
MARCIO ALVINO,SP,PR,5.2
RÔNEY NEMER,DF,PP,56.99
MARCUS PESTANA,MG,PSDB,22.07
ANDERSON FERREIRA,PE,PR,665.63
MAX FILHO,ES,PSDB,164.35
PAULO FOLETTO,ES,PSB,130.0
MOEMA GRAMACHO,BA,PT,18.1
DARCÍSIO PERONDI,RS,PMDB,194.66
ANTÔNIO JÁCOME,RN,PTN,70.0
WALDENOR PEREIRA,BA,PT,-21.76
BALEIA ROSSI,SP,PMDB,616.75
LOBBE NETO,SP,PSDB,42.9
RAUL JUNGMANN,PE,PPS,-886.58
FRANCISCO CHAPADINHA,PA,PTN,110.5
INDIO DA COSTA,RJ,PSD,2202.21
ENIO VERRI,PR,PT,-217.0
LEONARDO QUINTÃO,MG,PMDB,200.0
GABRIEL GUIMARÃES,MG,PT,52.26
FELIPE BORNIER,RJ,PROS,-15.0
TADEU ALENCAR,PE,PSB,494.63
EDMILSON RODRIGUES,PA,PSOL,50.0
SÉRGIO REIS,SP,PRB,39.32
MARCELO CASTRO,PI,PMDB,235.03
RENZO BRAZ,MG,PP,248.3
MARA GABRILLI,SP,PSDB,400.0
CARLOS ANDRADE,RR,PHS,1643.73
JUTAHY JUNIOR,BA,PSDB,65.8
MAX FILHO,ES,PSDB,-17.25
BONIFÁCIO DE ANDRADA,MG,PSDB,776.35
POMPEO DE MATTOS,RS,PDT,6800.0
EZEQUIEL TEIXEIRA,RJ,PTN,82.03
MAJOR OLIMPIO,SP,SD,9945.0
RODRIGO MAIA,RJ,DEM,100.0
CARLOS HENRIQUE GAGUIM,TO,PTN,135.09
JOÃO DERLY,RS,REDE,606.05
ANTONIO CARLOS MENDES THAME,SP,PV,29.35
DANIEL VILELA,GO,PMDB,200.0
LUIZ COUTO,PB,PT,215.97
JOSÉ ROCHA,BA,PR,68.0
ADAIL CARNEIRO,CE,PP,16.3
BETO SALAME,PA,PP,130.0
JOSÉ OTÁVIO GERMANO,RS,PP,1054.58
CAPITÃO AUGUSTO,SP,PR,169.5
ZECA CAVALCANTI,PE,PTB,120.0
JAIME MARTINS,MG,PSD,2000.0
JORGE SOLLA,BA,PT,3.7
ARLINDO CHINAGLIA,SP,PT,25.0
CAJAR NARDES,RS,PR,12.6
FAUSTO PINATO,SP,PP,130.06
DANILO FORTE,CE,PSB,32.0
VANDERLEI MACRIS,SP,PSDB,50.03
PAULO MALUF,SP,PP,488.48
ANTONIO BRITO,BA,PSD,109.61
KEIKO OTA,SP,PSB,2.2
MARCO MAIA,RS,PT,50.0
WALDENOR PEREIRA,BA,PT,150.0
LUIZ CARLOS RAMOS ,RJ,PTN,61.8
CHICO LOPES,CE,PCdoB,101.74
RAQUEL MUNIZ,MG,PSD,30.0
ANTÔNIO JÁCOME,RN,PTN,120.0
MARCIO ALVINO,SP,PR,3.5
CAPITÃO AUGUSTO,SP,PR,71.65
FELIPE MAIA,RN,DEM,24.0
JOSE STÉDILE,RS,PSB,150.0
GIOVANI CHERINI,RS,PR,5480.0
JÔ MORAES,MG,PCdoB,50.0
JOSÉ GUIMARÃES,CE,PT,2000.0
MÁRIO HERINGER,MG,PDT,5000.0
LEÔNIDAS CRISTINO,CE,PDT,2490.0
RICARDO IZAR,SP,PP,704.78
JOSE STÉDILE,RS,PSB,9.7
CLARISSA GAROTINHO,RJ,PRB,39.1
MARCUS PESTANA,MG,PSDB,215.73
SIMÃO SESSIM,RJ,PP,-859.27
JARBAS VASCONCELOS,PE,PMDB,198.33
SIMÃO SESSIM,RJ,PP,23.0
MARCUS PESTANA,MG,PSDB,169.42
MISAEL VARELLA,MG,DEM,52.19
MARGARIDA SALOMÃO,MG,PT,33.75
PAULO ABI-ACKEL,MG,PSDB,426.2
MARCELO ÁLVARO ANTÔNIO,MG,PR,160.0
ZECA DIRCEU,PR,PT,18.9
JOÃO CARLOS BACELAR,BA,PR,576.58
