Country,Average GDP,Population,Life expectancy
Afghanistan,253.1783785765258,33332025,51.3
Albania,1070.6876289774648,3038594,78.3
Algeria,1376.3099839990607,40263711,76.8
American Samoa,288.56023793802814,54194,75.4
Andorra,6122.977502859155,85660,82.8
Angola,1095.1757870999998,20172332,56.0
Anguilla,2443.7393947380283,16752,81.4
Antigua and Barbuda,2031.872558276526,93581,76.5
Argentina,4203.53142226291,43886748,77.1
Armenia,962.2941831483569,3051250,74.6
Aruba,3656.17979250986,113648,76.8
Australia,9173.534047631456,22992654,82.2
Austria,8495.950692549297,8711770,81.5
Azerbaijan,1474.808233176056,9872765,72.5
Bahamas,5027.6940226666675,327316,72.4
Bahrain,5416.359862474179,1378904,78.9
Bangladesh,726.2142064103288,156186882,73.2
Barbados,3100.150514314554,291495,75.3
Belarus,1986.5420835070422,9570376,72.7
Belgium,8476.360197539905,11409077,81.0
Belize,1130.1611480741783,353858,68.7
Benin,352.8815886910798,10741458,61.9
Bermuda,12188.235640553989,70537,81.3
Bhutan,462.7895447892019,750125,70.1
Bolivia,953.2663838450702,10969649,69.2
Bosnia and Herzegovina,1189.4756850901408,3861912,76.7
Botswana,1630.8686150309861,2209208,54.5
Brazil,2199.537072821127,205823665,73.8
British Virgin Islands,3965.081609980751,34232,78.6
Brunei,11124.66078370892,436620,77.2
Bulgaria,2192.4006902751175,7144653,74.5
Burkina Faso,260.22505284225355,19512533,55.5
Burundi,144.89599199577464,11099298,60.5
Cambodia,227.1114138633803,15957223,64.5
Cameroon,534.5474954774648,24360803,58.5
Canada,8873.598136366198,35362905,81.9
Cape Verde,688.348129013615,553432,72.1
Cayman Islands,7991.197027657277,57268,81.2
Chad,363.6461002173708,11852462,50.2
Chile,3221.1789863863846,17650114,78.8
China,1174.6334801225353,1373541278,75.5
Christmas Island,0.0,2205,0.0
Colombia,1565.786032693427,47220856,75.7
Comoros,399.82400812488254,794678,64.2
Cook Islands,1871.665827729108,9556,75.8
Costa Rica,1998.067027880751,4872543,78.6
Croatia,3180.07132742723,4313707,75.9
Cuba,2268.9305867183093,11179995,78.7
Cyprus,3415.967549519719,1205575,78.7
Denmark,8652.098485929579,5593785,79.4
Djibouti,799.2445208070424,846687,63.2
Dominica,1321.6491825652583,73757,77.0
Ecuador,1874.5925959342721,16080778,76.8
Egypt,968.8001810333334,94666993,72.7
El Salvador,1629.0167921849766,6156670,74.7
Equatorial Guinea,929.1170903967137,759451,64.2
Eritrea,166.287472529108,5869869,64.9
Estonia,3328.847611048357,1258545,76.7
Ethiopia,164.77645469342724,102374044,62.2
Fiji,783.1691084793428,915303,72.7
Finland,6807.251035126762,5498211,80.9
France,8112.441890516433,66836154,81.8
French Guiana,291.12318917746484,181000,76.1
French Polynesia,4726.614715592487,285321,77.2
Gabon,3443.0374815211267,1738541,52.1
Gambia,206.45045128638498,2009648,64.9
Georgia,1309.756858734272,4928052,76.2
Germany,8825.990696338029,80722792,80.7
Ghana,328.6477789023474,26908262,66.6
Gibraltar,191.24029788732392,29328,79.4
Greece,5417.080335444602,10773253,80.5
Greenland,5654.7000259014085,57728,72.4
